bedrooms,bathrooms,floors,condition,sqft_lot,yr_built,price,Column
3,1,1,3,5650,1955,221900,
3,2,2,3,7242,1951,538000,
2,1,1,3,10000,1933,180000,
4,3,1,5,5000,1965,604000,
3,2,1,3,8080,1987,510000,
4,4,1,3,101930,2001,1225000000,
3,2,2,3,6819,1995,257500,
3,1,1,3,9711,1963,291850,
3,1,1,3,7470,1960,229500,
3,2,2,3,6560,2003,323000,
3,2,1,3,9796,1965,662500,
2,1,1,4,6000,1942,468000,
3,1,1,4,19901,1927,310000,
3,1,1,4,9680,1977,400000,
5,2,1,3,4850,1900,530000,
4,3,2,3,5000,1979,650000,
3,2,2,3,14040,1994,395000,
4,1,1,4,4300,1916,485000,
2,1,1,4,9850,1921,189000,
3,1,1,4,9774,1969,230000,
4,1,1,4,4980,1947,385000,
3,2,1,3,44867,1968,2000000,
5,2,2,3,6300,1995,285000,
2,1,1,3,9643,1985,252700,
3,2,2,4,6500,1985,329000,
3,2,1,5,4697,1941,233000,
3,1,2,3,2691,1915,937000,
3,1,1,5,1581,1909,667000,
3,1,1,3,6380,1948,438000,
4,2,2,3,7173,2005,719000,
3,2,2,3,3980,2003,580500,
2,1,3,3,1265,2005,280000,
4,1,1,4,5000,1929,687500,
3,1,1,4,3000,1929,535000,
4,2,1,3,6659,1981,322500,
3,2,1,3,3060,1930,696000,
4,1,1,1,34848,1933,550000,
4,2,2,4,6000,1904,640000,
4,1,1,2,8075,1969,240000,
4,2,2,3,7553,1996,605000,
4,2,2,3,5520,2000,625000,
4,2,1,3,24186,1984,775000,
5,2,2,3,5639,2014,861990,
3,1,2,3,2280,1922,685000,
3,1,1,4,9656,1959,309000,
3,2,2,3,13603,2003,488000,
3,1,1,3,8528,1966,210490,
4,2,2,4,13416,1981,785000,
3,1,1,4,5963,1953,450000,
3,1,1,3,9199,1955,228000,
5,2,1,4,9134,1966,345000,
3,1,1,4,4080,1950,600000,
2,1,1,3,8550,1981,585000,
5,2,1,3,6000,1927,920000,
4,2,2,3,5000,1995,885000,
4,2,2,3,4495,2008,292500,
3,2,2,3,4750,2003,301000,
5,3,2,4,14342,1968,951000,
4,3,2,3,9976,1991,430000,
3,2,1,4,21235,1959,650000,
3,1,1,3,8400,1954,289000,
3,1,2,5,8690,1973,505000,
3,1,3,3,1044,2014,549000,
3,2,1,3,6000,1979,425000,
3,2,1,5,3809,1925,317625,
4,2,2,3,11049,1989,975000,
4,2,2,3,4648,2005,287000,
3,1,1,4,12070,1968,204000,
5,2,1,3,20158,1965,1325000000,
3,2,1,4,5612,1972,325000,
4,2,1,5,7807,1916,571000,
4,2,2,3,5000,2005,360000,
3,1,1,5,50529,1965,349000,
4,4,2,4,35102,1986,832500,
4,1,1,3,7300,1956,380000,
3,1,1,3,5060,1941,480000,
3,1,1,4,5060,1956,410000,
4,2,2,3,39683,2002,720000,
3,2,2,3,5100,2003,390000,
4,2,2,3,5889,1992,360000,
2,1,1,3,6720,1948,355000,
3,1,1,3,8712,1964,356000,
3,1,1,3,6634,1952,315000,
3,1,2,3,3600,1925,940000,
5,2,1,5,8400,1961,305000,
3,3,2,3,6278,2006,461000,
2,2,2,4,2040,1979,215000,
2,1,2,3,1066,2006,335000,
4,2,2,3,7403,1988,243500,
5,2,2,4,6353,2001,109988000000,
3,1,1,3,10500,1962,153000,
3,1,1,3,5000,1939,430000,
3,1,1,3,5000,1939,700000,
4,2,1,3,10250,1946,905000,
3,1,1,3,15681,1967,247500,
4,1,1,4,6400,1975,199000,
3,1,1,5,41800,1980,314000,
3,2,2,3,36847,1992,437500,
3,2,1,5,13241,1910,850830,
3,2,1,4,3478,1929,555000,
3,2,2,4,107593,1983,699950,
3,2,2,3,8113,1950,1088000000,
3,1,1,3,33919,1954,290000,
3,2,1,4,10005,1978,375000,
3,1,1,4,4005,1939,460000,
2,1,1,4,2493,1985,188500,
4,2,2,4,28037,1991,680000,
5,1,2,4,12342,1942,470000,
4,2,2,3,9624,1984,597750,
3,1,1,5,3328,1905,570000,
3,1,1,4,12600,1980,272500,
3,1,1,3,5969,1971,329950,
4,2,2,3,16171,2001,480000,
3,3,2,3,6350,1900,740500,
3,3,3,3,1102,2010,518500,
2,1,1,4,6780,1945,205425,
4,2,1,3,9600,1950,171800,
4,1,1,4,2982,1925,535000,
3,2,1,3,6474,1964,660000,
3,2,1,3,9132,1987,391500,
2,1,1,3,6000,1953,395000,
4,1,1,5,4400,1924,445000,
3,2,2,3,10204,1990,770000,
3,2,1,3,8201,1967,445000,
4,2,1,3,8811,1978,260000,
5,3,2,5,4960,1926,822500,
4,2,2,3,4310,2004,430000,
3,1,1,4,7875,1986,212000,
