bedrooms,bathrooms,floors,waterfront,condition,grade,sqft_lot,yr_built,price
3,1,1,0,3,7,5650,1955,221900
3,2,2,0,3,7,7242,1951,538000
2,1,1,0,3,6,10000,1933,180000
4,3,1,0,5,7,5000,1965,604000
3,2,1,0,3,8,8080,1987,510000
4,4,1,0,3,11,101930,2001,1225000000
3,2,2,0,3,7,6819,1995,257500
3,1,1,0,3,7,9711,1963,291850
3,1,1,0,3,7,7470,1960,229500
3,2,2,0,3,7,6560,2003,323000
3,2,1,0,3,8,9796,1965,662500
2,1,1,0,4,7,6000,1942,468000
3,1,1,0,4,7,19901,1927,310000
3,1,1,0,4,7,9680,1977,400000
5,2,1,0,3,7,4850,1900,530000
4,3,2,0,3,9,5000,1979,650000
3,2,2,0,3,7,14040,1994,395000
4,1,1,0,4,7,4300,1916,485000
2,1,1,0,4,7,9850,1921,189000
3,1,1,0,4,7,9774,1969,230000
4,1,1,0,4,7,4980,1947,385000
3,2,1,0,3,9,44867,1968,2000000
5,2,2,0,3,8,6300,1995,285000
2,1,1,0,3,7,9643,1985,252700
3,2,2,0,4,8,6500,1985,329000
3,2,1,0,5,6,4697,1941,233000
3,1,2,0,3,8,2691,1915,937000
3,1,1,0,5,8,1581,1909,667000
3,1,1,0,3,7,6380,1948,438000
4,2,2,0,3,8,7173,2005,719000
3,2,2,0,3,8,3980,2003,580500
2,1,3,0,3,7,1265,2005,280000
4,1,1,0,4,7,5000,1929,687500
3,1,1,0,4,8,3000,1929,535000
4,2,1,0,3,7,6659,1981,322500
3,2,1,0,3,8,3060,1930,696000
4,1,1,0,1,5,34848,1933,550000
4,2,2,0,4,8,6000,1904,640000
4,1,1,0,2,7,8075,1969,240000
4,2,2,0,3,8,7553,1996,605000
4,2,2,0,3,9,5520,2000,625000
4,2,1,0,3,8,24186,1984,775000
5,2,2,0,3,9,5639,2014,861990
3,1,2,0,3,7,2280,1922,685000
3,1,1,0,4,6,9656,1959,309000
3,2,2,0,3,8,13603,2003,488000
3,1,1,0,3,6,8528,1966,210490
4,2,2,0,4,9,13416,1981,785000
3,1,1,0,4,7,5963,1953,450000
3,2,1,1,5,9,65005,1953,1.35e+006
3,1,1,0,3,7,9199,1955,228000
5,2,1,0,4,8,9134,1966,345000
3,1,1,0,4,7,4080,1950,600000
2,1,1,0,3,7,8550,1981,585000
5,2,1,0,3,8,6000,1927,920000
4,2,2,0,3,9,5000,1995,885000
4,2,2,0,3,7,4495,2008,292500
3,2,2,0,3,8,4750,2003,301000
5,3,2,0,4,8,14342,1968,951000
4,3,2,0,3,8,9976,1991,430000
3,2,1,0,4,8,21235,1959,650000
3,1,1,0,3,7,8400,1954,289000
3,1,2,0,5,8,8690,1973,505000
3,1,3,0,3,8,1044,2014,549000
3,2,1,0,3,7,6000,1979,425000
3,2,1,0,5,7,3809,1925,317625
4,2,2,0,3,10,11049,1989,975000
4,2,2,0,3,7,4648,2005,287000
3,1,1,0,4,7,12070,1968,204000
5,2,1,0,3,8,20158,1965,1325000000
